user_id,origin,replaced
7,USA-Eastcoast,usa eastcoast
11,Winterfell,winterfell
12,Westeros,westeros
23,World of Fiction,world of fiction
24,telegraph ave.,telegraph ave 
25,Instagram - @SheldonSteele,instagram    sheldonsteele
26,violet tree,violet tree
28,California,california
29,|East Lansing, MI|,east lansing  mi
30,OHIO - Midwest,ohio   midwest
31,|Abu Dhabi, United Arab Emirates|,abu dhabi  united arab emirates
35,|London, UK|,london  uk
36,Platform 9¾,platform   
37,|Salt Lake City, UT|,salt lake city  ut
39,UK,uk
40,Stark Industries,stark industries
47,1Petr1 1John1 Gala6 Rom8 Lam3, petr   john  gala  rom  lam 
49,|Britain, world.|,britain  world 
54,|Montréal,Canada |,montr al canada 
58,The Graaaaaave,the graaaaaave
65,Fruitcake Heights,fruitcake heights
70,|UU 2019 || Political Science|,uu        political science
79,Location: Everywhere you look,location  everywhere you look
81,Philadelphia - New York City,philadelphia   new york city
94,Asgard Motherfucker,asgard motherfucker
98,|Nottingham, via Boston.|,nottingham  via boston 
104,Wit @DGotTheJuicee_,wit  dgotthejuicee 
107,Manchester/Birmingham,manchester birmingham
121,|Cinderella's Castle, FL. |,cinderella s castle  fl  
123,|Berkshire Co., Mass.|,berkshire co   mass 
129,afterlife,afterlife
148,— man in exoplanet ✰,  man in exoplanet  
150,Canada and beyond!,canada and beyond 
156,The Blue Room (Duval County),the blue room  duval county 
159,the dead are living,the dead are living
163,|St.Andrew Jamaica ✈ , Orlando |,st andrew jamaica     orlando 
167,|Yate, Bristol|,yate  bristol
173,zayn follows :),zayn follows   
176,Next to your BITCH,next to your bitch
179,westeros,westeros
180,London/Manchester/Napa,london manchester napa
182,|Secunda, Evander|,secunda  evander
190,boring bishop burton,boring bishop burton
201,UK and South West France,uk and south west france
203,NJ--RI,nj  ri
204,21 Westeros,   westeros
205,Underworld,underworld
206,somewhere in the gym,somewhere in the gym
209,Lancashire Lad,lancashire lad
211,Leeds / London / ,leeds   london   
214,B R ▲ M P T O N ,b r   m p t o n 
217,The Batcave ,the batcave 
218,Rejkjavík,rejkjav k
225,Westeros,westeros
